Solution_ID,Total_Cost,Cost_Change_vs_Baseline_%,Weighted_Task_Completion_%,Completion_Improvement_vs_Baseline_%,Low_Importance_Completion_%,Med_Importance_Completion_%,High_Importance_Completion_%,Min_Completion_Across_Types_%,Max_Completion_Across_Types_%,Completion_Balance_StdDev,Meets_min%_Constraint,Total_Failures,Total_Maintenance,Threshold_Low_Importance,Threshold_Med_Importance,Threshold_High_Importance
1,3638000.0,37.803030303030305,37.2288450263826,21.593756600596464,76.66666666666667,95.63131313131314,75.9313725490196,75.9313725490196,95.63131313131314,9.118273057220929,False,71,29,9.500270986861446,7.777233428120148,9.165175741606195
2,3638000.0,37.803030303030305,37.2288450263826,21.593756600596464,76.66666666666667,95.63131313131314,75.9313725490196,75.9313725490196,95.63131313131314,9.118273057220929,False,71,29,9.500270986861446,7.80662732359257,9.060414157522517
3,5456000.0,106.66666666666667,94.67884828349945,79.04375985771331,88.66161616161617,96.16161616161617,96.51960784313725,88.66161616161617,96.51960784313725,3.6228624550039137,True,29,88,2.397195924460097,7.027145301036126,8.479029953889134
4,4868000.0,84.3939393939394,90.82418873116548,75.18910030537934,84.57070707070707,92.95454545454545,97.05882352941177,84.57070707070707,97.05882352941177,5.197081416508064,False,36,74,3.910088188010725,8.361752672659723,8.137486202925082
5,4352000.0,64.84848484848484,62.78331487633817,47.14822645055203,79.72222222222223,88.81313131313131,94.01960784313725,79.72222222222223,94.01960784313725,5.908254691999658,False,54,46,8.017668915091967,7.454465434817687,8.974267662792684
6,4578000.0,73.4090909090909,69.16031528890623,53.525226863120096,89.11616161616162,97.47474747474747,81.17647058823529,81.17647058823529,97.47474747474747,6.6544761931241325,False,51,54,4.569006337460933,7.0541038895247254,9.63497344952841
7,4074000.0,54.31818181818182,49.427398866523376,33.79231044073724,83.18181818181817,97.5,77.79411764705883,77.79411764705883,97.5,8.315711013488713,False,58,42,5.90212417554841,7.144219035252652,9.409170336634336
8,3654000.0,38.40909090909091,46.75892450003259,31.123836074246455,81.7929292929293,93.15656565656566,77.62254901960785,77.62254901960785,93.15656565656566,6.564466432631821,False,68,32,6.437156331367284,8.66237705889878,9.521269377283005
9,5036000.0,90.75757575757576,94.2109634551495,78.57587502936336,88.76262626262627,95.68181818181817,95.7843137254902,88.76262626262627,95.7843137254902,3.2861631963468945,True,30,78,3.8434669291429087,8.271241613417889,8.991492145603601
10,3948000.0,49.54545454545455,47.219643671422105,31.58455524563597,81.03535353535354,97.5,77.47549019607844,77.47549019607844,97.5,8.722500935240618,False,61,39,5.909891658299227,7.373621940719333,9.42144798236292
